Box.number,Location,Orientation,First.egg,Number.eggs.laid,Number.eggs.hatched,Percentage.eggs.hatched,First.nestling,First.fledged,Predated_as_eggs,Hatched,Predated_as_chicks,Failed,Fledged,Renest
35R,Railroad,East,4/28/2023,5,4,0.8,5/16/2023,6/2/2023,0,1,0,0,1,1
36R,Railroad,North,4/29/2023,5,5,1,5/20/2023,6/7/2023,0,1,0,0,1,0
37R,Railroad,West,4/29/2023,5,4,0.8,5/18/2023,6/5/2023,0,1,0,0,1,0
39R,Railroad,East,5/1/2023,5,4,0.8,5/20/2023,6/2/2023,0,1,0,0,0,0
40R,Railroad,North,4/28/2023,6,0,0,na,na,0,0,0,1,0,0
41R,Railroad,West,4/26/2023,5,5,1,5/16/2023,6/2/2023,0,1,0,0,1,1
43R,Railroad,East,4/30/2023,6,6,1,5/20/2023,6/2/2023,0,1,1,1,1,0
44R,Railroad,North,5/4/2023,5,5,1,6/2/2023,6/21/2023,0,1,0,0,1,0
45R,Railroad,West,5/1/2023,4,0,0,na,na,0,0,0,1,0,1
46R,Railroad,South,5/3/2023,2,0,0,na,na,0,0,0,1,0,1
48R,Railroad,North,5/9/2023,6,5,0.833,5/27/2023,6/14/2023,0,1,0,0,1,0
49R,Railroad,West,5/2/2023,6,4,0.666,5/23/2023,6/5/2023,0,1,0,0,1,1
52R,Railroad,North,4/29/2023,6,6,1,5/17/2023,5/31/2023,0,1,0,0,1,0
73R,Railroad,East,5/13/2023,6,6,1,5/31/2023,6/12/2023,0,1,1,0,1,0
1C,Cemetery,North,5/25/2023,5,4,0.8,6/12/2023,na,0,1,0,1,0,0
2C,Cemetery,East,5/3/2023,4,0,0,na,na,0,0,0,1,0,0
3C,Cemetery,South,5/6/2023,4,0,0,na,na,0,0,0,1,0,1
6C,Cemetery,East,5/4/2023,5,5,1,5/21/2023,na,0,1,1,1,0,0
7C,Cemetery,South,5/13/2023,6,0,0,na,na,1,0,1,1,0,1
8C,Cemetery,West,4/29/2023,6,2,0.333,5/21/2023,na,0,1,0,1,0,0
9C,Cemetery,North,5/1/2023,5,3,0.6,5/20/2023,na,0,1,1,1,0,1
10C,Cemetery,East,6/3/2023,5,0,0,na,na,0,0,0,1,0,0
11C,Cemetery,South,5/7/2023,5,0,0,na,na,1,0,1,1,0,0
14C,Cemetery,East,5/5/2023,6,5,0.833,5/23/2023,6/5/2023,0,1,1,0,0,0
16C,Cemetery,West,5/5/2023,6,0,0,na,na,0,0,0,1,0,1
17C,Cemetery,North,4/30/2023,5,0,0,na,na,1,0,1,1,0,0
18C,Cemetery,East,4/28/2023,5,4,0.8,5/18/2023,na,0,1,0,1,0,0
21C,Cemetery,North,5/12/2023,5,0,0,na,na,0,0,0,1,0,1
22C,Cemetery,East,4/29/2023,6,6,1,5/18/2023,6/2/2023,0,1,0,0,1,1
25C,Cemetery,North,5/3/2023,5,0,0,na,na,0,0,0,1,0,0
26C,Cemetery,East,5/13/2023,6,0,0,na,na,0,0,0,1,0,0
28C,Cemetery,West,5/1/2023,6,5,0.833,5/21/2023,na,0,1,0,1,0,1
30C,Cemetery,East,5/1/2023,5,0,0,na,na,1,0,1,1,0,1
31C,Cemetery,South,5/6/2023,6,0,0,na,na,1,0,1,1,0,0
32C,Cemetery,West,6/14/2023,4,0,0,na,na,1,0,1,1,0,0
33C,Cemetery,North,5/1/2023,7,6,0.857,5/20/2023,6/12/2023,0,1,0,0,1,0
36C,Cemetery,West,5/12/2023,4,2,0.5,5/29/2023,na,0,1,Conflict,1,0,0
37C,Cemetery,North,4/29/2023,8,0,0,na,na,0,0,Conflict,1,0,1
39C,Cemetery,South,5/2/2023,6,0,0,na,na,0,0,Dumped,1,0,0
40C,Cemetery,West,5/12/2023,5,0,0,na,na,1,0,1,1,0,0
41C,Cemetery,North,5/15/2023,5,0,0,na,na,1,0,1,1,0,0
42C,Cemetery,East,5/10/2023,6,0,0,na,na,0,0,0,1,0,0
1D,Dairy,South,6/7/2023,1,0,0,na,na,0,0,0,1,0,0
2D,Dairy,West,4/29/2023,6,5,0.833,5/17/2023,na,0,1,0,1,0,0
3D,Dairy,North,5/13/2023,5,0,0,na,na,1,0,1,1,0,1
5D,Dairy,South,4/21/2023,6,6,1,5/11/2023,5/27/2023,0,1,0,0,1,1
6D,Dairy,West,5/9/2023,6,0,0,na,na,0,0,0,1,0,1
7D,Dairy,North,5/6/2023,7,5,0.714,5/24/2023,na,0,1,0,1,0,1
10D,Dairy,West,5/4/2023,7,0,0,na,na,0,0,Dumped,1,0,0
11D,Dairy,North,4/29/2023,6,4,0.666,5/18/2023,na,0,1,0,1,0,1
12D,Dairy,East,5/9/2023,6,0,0,na,na,1,0,1,1,0,1
14D,Dairy,West,5/5/2023,6,6,1,5/23/2023,na,0,1,0,1,0,0
15D,Dairy,North,5/9/2023,6,2,0.333,5/27/2023,na,0,1,1,1,0,0
16D,Dairy,East,5/2/2023,6,0,0,na,na,1,0,1,1,0,1
18D,Dairy,West,5/7/2023,5,0,0,na,na,0,0,0,1,0,0
19D,Dairy,North,5/4/2023,6,0,0,na,na,0,0,0,1,0,0
20D,Dairy,East,5/12/2023,5,4,0.8,5/29/2023,6/9/2023,0,1,0,0,1,0
21D,Dairy,South,5/11/2023,5,0,0,na,na,0,0,0,1,0,1
23D,Dairy,North,5/9/2023,7,0,0,na,na,0,0,0,1,0,1
25D,Dairy,South,5/7/2023,1,0,0,na,na,0,0,0,1,0,1
26D,Dairy,West,5/17/2023,3,0,0,na,na,1,0,1,1,0,1
27D,Dairy,North,5/20/2023,4,4,1,6/7/2023,na,0,1,0,1,0,1
28D,Dairy,East,4/22/2023,5,1,0.2,5/18/2023,5/21/2023,0,1,0,0,1,0
29D,Dairy,South,4/29/2023,5,0,0,na,na,0,0,0,1,0,1
